%time powercore powersram powertrans tempcore tempsram temptrans
3.589 0.20255 1.46549 0.40096 1.99880616029 1.48712378526 1.35833574292
3.59 0.19707 1.46737 0.38215 1.99653248707 1.48718189316 1.35955580163
3.591 0.19862 1.46694 0.38215 1.98609702758 1.48752551829 1.34727431041
3.592 0.20171 1.46564 0.40096 1.99718744991 1.48720481711 1.35841943857
3.593 0.19713 1.46737 0.38215 1.99424446199 1.48729456172 1.35963842963
3.594 0.1994 1.46679 0.38215 1.98806699869 1.48757834512 1.34735657004
3.595 0.20169 1.46578 0.40096 1.99946081263 1.48728660687 1.35850305856
3.596 0.19725 1.46737 0.38215 1.99494911633 1.48741425257 1.35972426312
3.597 0.1999 1.46665 0.38215 1.98998784408 1.48764128097 1.34744458552
3.598 0.20101 1.46593 0.40096 1.99934142205 1.48737661199 1.35859307977
3.599 0.19707 1.46737 0.38215 1.99276923206 1.4875349771 1.35981470736
3.6 0.20026 1.4665 0.38215 1.99027480982 1.487698265 1.3475343001
3.601 0.20023 1.46607 0.40096 1.9982285873 1.48745667855 1.35868182406
3.602 0.19727 1.46737 0.38215 1.99114201172 1.48764867366 1.3599020376
3.603 0.20112 1.46622 0.38215 1.99294412054 1.48772379947 1.34762082197
3.604 0.2003 1.46636 0.40096 2.00109945081 1.48754161516 1.35876951886
3.605 0.19713 1.46737 0.38215 1.99148850277 1.48780404681 1.35999152128
3.606 0.20166 1.46593 0.38215 1.99426743624 1.48775804862 1.34771178634
3.607 0.19965 1.46665 0.40096 2.00107541792 1.48762588284 1.35886156634
3.608 0.19739 1.46737 0.38215 1.9905848101 1.48795735617 1.36008364578
3.609 0.20253 1.46593 0.38215 1.99728760641 1.48786128417 1.34780381233
3.61 0.19878 1.46665 0.40096 2.00151007261 1.48772490012 1.35895414454
3.611 0.19707 1.46737 0.38215 1.98761892126 1.4880483381 1.36017568611
3.612 0.2029 1.46564 0.38908 1.99713738226 1.48788127751 1.35269060935
3.613 0.19829 1.46694 0.39403 2.00114790957 1.48780252347 1.35977760288
3.614 0.19707 1.46737 0.38215 1.98631826771 1.48819784016 1.35587865498
3.615 0.20361 1.46535 0.397 1.99894361797 1.48791213635 1.35765713495
3.616 0.19735 1.46723 0.38611 2.00078284985 1.4878862437 1.36046002015
3.617 0.19707 1.46737 0.38215 1.98388203326 1.48834868342 1.35084532752
3.618 0.20372 1.4652 0.40096 1.998976749 1.48797344578 1.35971847491
3.619 0.19719 1.46737 0.38215 2.00063880738 1.48796907656 1.36065596538
3.62 0.19779 1.46737 0.38215 1.98544195986 1.48846838345 1.34826920288
3.621 0.2044 1.4652 0.40096 2.00301422043 1.48807202313 1.35936598097
3.622 0.19753 1.46737 0.38215 2.00405565792 1.48806877589 1.36055631115
3.623 0.19681 1.46737 0.38215 1.98437312387 1.48856377378 1.34826346461
3.624 0.20362 1.4652 0.40096 1.9983446889 1.48815765472 1.35939667723
3.625 0.19745 1.46737 0.38215 2.00117758221 1.48814818501 1.36061280189
3.626 0.19687 1.46737 0.38215 1.98384272473 1.48864372157 1.34832565518
3.627 0.20354 1.4652 0.40096 1.99815120633 1.48823879416 1.3594687296
3.628 0.19753 1.46737 0.38215 2.00116604081 1.48823006251 1.36068476923
3.629 0.19699 1.46737 0.38215 1.98442535778 1.48872711182 1.34840410855
3.63 0.20371 1.4652 0.40096 1.99907437174 1.48832448556 1.35954710767
3.631 0.19727 1.46737 0.38215 2.00112910404 1.48831638919 1.36076844268
3.632 0.19741 1.46737 0.38215 1.98496762093 1.48881398292 1.34848716311
3.633 0.20346 1.4652 0.40096 1.99967365017 1.48841257437 1.35963389007
3.634 0.19759 1.46737 0.38215 2.00150207927 1.48840495844 1.36085431808
3.635 0.19733 1.46737 0.38215 1.98575692092 1.48890315355 1.34857568076
3.636 0.20368 1.4652 0.40096 2.0002539803 1.48850242374 1.35972148324
3.637 0.19701 1.46737 0.38215 2.0007043866 1.48849329168 1.36094365824
3.638 0.19759 1.46737 0.38215 1.9848953382 1.48898939167 1.34866321565
3.639 0.20363 1.4652 0.40096 2.00075274489 1.48858905737 1.35980963647
3.64 0.19805 1.46737 0.38215 2.00349644367 1.48858386226 1.36103103651
3.641 0.19739 1.46737 0.38215 1.98760826289 1.48908396993 1.3487531219
3.642 0.2038 1.4652 0.40096 2.00121403004 1.48868333113 1.35990042299
3.643 0.19759 1.46737 0.38215 2.00296099594 1.48867540311 1.36112348973
3.644 0.19719 1.46737 0.38215 1.98587176849 1.4891722219 1.34884444138
3.645 0.20386 1.4652 0.40096 2.000681028 1.48876970225 1.35999099446
3.646 0.19721 1.46737 0.38215 2.00202306973 1.48876094093 1.36121180744
3.647 0.19719 1.46737 0.38215 1.98477436846 1.48925594212 1.34893160612
3.648 0.2031 1.4652 0.40096 1.99848866205 1.48885082622 1.36007592945
3.649 0.19713 1.46737 0.38215 1.99949839054 1.48883890477 1.3612952207
3.65 0.19725 1.46737 0.38215 1.98435158651 1.48933412723 1.34901300838
3.651 0.20363 1.4652 0.40096 1.99999517781 1.48893298454 1.36015742992
3.652 0.19773 1.46737 0.38215 2.00277656932 1.48892680788 1.36137800972
3.653 0.19739 1.46737 0.38215 1.9868977368 1.48942638043 1.34909910269
3.654 0.20328 1.4652 0.40096 1.99995794138 1.4890246741 1.36024615508
3.655 0.19765 1.46737 0.38215 2.00180410693 1.48901563583 1.36146839822
3.656 0.19779 1.46737 0.38215 1.9877366439 1.48951544393 1.34918964192
3.657 0.20386 1.4652 0.40096 2.0027708677 1.48911759742 1.36033741673
3.658 0.19725 1.46737 0.38215 2.00275632628 1.48910984356 1.36156033431
3.659 0.19721 1.46737 0.38215 1.98539599129 1.48960474469 1.34928160786
3.66 0.20392 1.4652 0.40096 2.00118750886 1.48920259618 1.36042780606
3.661 0.19729 1.46737 0.38215 2.0028182186 1.48919514828 1.3616492309
3.662 0.19765 1.46737 0.38215 1.98671307358 1.48969227357 1.349369484
3.663 0.20372 1.4652 0.40096 2.00205971446 1.48929152367 1.36051572258
3.664 0.1977 1.46737 0.38215 2.00362590637 1.4892844936 1.36173759211
3.665 0.19739 1.46737 0.38215 1.98732698365 1.48978207637 1.34945873186
3.666 0.20396 1.4652 0.40096 2.00220830828 1.48938105911 1.36060554111
3.667 0.19727 1.46737 0.38215 2.00322727635 1.48937289089 1.3618275824
3.668 0.19792 1.46723 0.38215 1.98764184753 1.48983717825 1.34954838706
3.669 0.20275 1.46535 0.40096 2.00045327877 1.4894634494 1.36069452204
3.67 0.19715 1.46737 0.38215 1.99949611892 1.48948537983 1.36191457894
3.671 0.19836 1.46708 0.38215 1.98801899473 1.48988692318 1.34963320828
3.672 0.20239 1.46549 0.40096 2.00063043819 1.48953991607 1.36077829548
3.673 0.19765 1.46737 0.38215 1.99996958675 1.48959922812 1.36199830209
3.674 0.19918 1.46679 0.38215 1.99170420722 1.48991245886 1.34971818007
3.675 0.2014 1.46578 0.40096 2.00073839666 1.48962050583 1.3608656048
3.676 0.19704 1.46737 0.38215 1.99587062436 1.48974533064 1.36208623654
3.677 0.19974 1.46665 0.38215 1.99113495645 1.48997058513 1.34980504824
3.678 0.2015 1.46593 0.40096 2.00237141439 1.48970666109 1.36095184671
3.679 0.19707 1.46737 0.38215 1.99647430049 1.48986733761 1.36217264253
3.68 0.20073 1.4665 0.38215 1.99408938598 1.49003228933 1.34989235443
3.681 0.20092 1.46607 0.40096 2.00395877567 1.48979420976 1.36104112955
3.682 0.19733 1.46737 0.38215 1.99602275005 1.48998942731 1.36226349642
3.683 0.20108 1.46636 0.38215 1.99582882726 1.49009632012 1.34998406568
3.684 0.19998 1.46622 0.40096 2.00266066524 1.48988368357 1.36113309864
3.685 0.19733 1.46737 0.38215 1.99346961314 1.49010811302 1.36235416928
3.686 0.20235 1.46607 0.38215 1.99896064989 1.49012194447 1.35007338229
3.687 0.19975 1.4665 0.40096 2.00585616505 1.48996599667 1.36122303459
3.688 0.19745 1.46737 0.38215 1.99377268869 1.49026178097 1.36244534555
3.689 0.20201 1.46593 0.38215 1.99860103244 1.49018940147 1.35016514603
3.69 0.19938 1.46665 0.40096 2.004004116 1.49005420083 1.36131444569
3.691 0.19739 1.46737 0.38215 1.99244520093 1.49038115424 1.36253532177
3.692 0.20331 1.46578 0.38512 2.00179384674 1.49024987265 1.3523097003
3.693 0.19859 1.46679 0.39799 2.00580565989 1.49014235891 1.36171867291
3.694 0.19747 1.46737 0.38215 1.99095937985 1.49050270709 1.36074611872
3.695 0.20335 1.46549 0.39304 2.00207635049 1.49027633618 1.35762311499
3.696 0.19827 1.46708 0.39007 2.00513418038 1.49022328702 1.36254291795
3.697 0.19773 1.46737 0.38215 1.99081543669 1.49065526184 1.355777105
3.698 0.20371 1.4652 0.40096 2.00377793011 1.49031024898 1.36247200837
3.699 0.1973 1.46737 0.38215 2.00378218686 1.49030697698 1.36317869915
3.7 0.19745 1.46737 0.38215 1.98739856714 1.49080413404 1.35071491406
3.701 0.204 1.4652 0.40096 2.00338734616 1.4904036018 1.36177766309
3.702 0.19699 1.46737 0.38215 2.00360052992 1.4903948897 1.36294240528
3.703 0.19758 1.46737 0.38215 1.98692086466 1.49088866 1.35063749117
3.704 0.2035 1.4652 0.40096 2.0023435345 1.4904853936 1.36175969294
3.705 0.19725 1.46737 0.38215 2.0028670128 1.49047497895 1.3629729961
3.706 0.19745 1.46737 0.38215 1.98717924657 1.49096975322 1.35068102157
3.707 0.20483 1.4652 0.40096 2.00567235057 1.49057149075 1.36182554849
3.708 0.19735 1.46737 0.38215 2.00722196488 1.49056843713 1.36304207706
3.709 0.19697 1.46737 0.38215 1.98692396193 1.49106303871 1.35076464965
3.71 0.20432 1.4652 0.40096 2.00321157864 1.49065889672 1.36190715628
3.711 0.19733 1.46737 0.38215 2.00556714667 1.49065246329 1.36313011953
3.712 0.19719 1.46737 0.38215 1.98724663805 1.49114790452 1.35084749851
3.713 0.20426 1.4652 0.40096 2.00367889136 1.49074510247 1.36199405211
3.714 0.19681 1.46737 0.38215 2.00412526267 1.49073682936 1.36321254756
3.715 0.19696 1.46737 0.38215 1.98510923765 1.49122869427 1.35093257485
3.716 0.20394 1.4652 0.40096 2.00192603994 1.49082400159 1.36207459475
3.717 0.19719 1.46737 0.38215 2.00404177812 1.49081652198 1.36329502197
3.718 0.19704 1.46737 0.38215 1.98632295272 1.49131152166 1.35101238828
3.719 0.20443 1.4652 0.40096 2.00367796736 1.49091013436 1.36215799058
3.72 0.19719 1.46737 0.38215 2.00569933802 1.49090527469 1.36337832393
3.721 0.19785 1.46737 0.38215 1.98888154139 1.49140328658 1.35110020311
3.722 0.20383 1.4652 0.40096 2.00471852507 1.49100330806 1.36224656167
3.723 0.1973 1.46737 0.38215 2.00470773951 1.49099564925 1.36346973508
3.724 0.19704 1.46737 0.38215 1.98698074748 1.49148961251 1.35118968895
